text,mental_state
"En tant qu'étudiante, je comprends maintenant que mes pensées suicidaires passées n'étaient pas un reflet de ma valeur intrinsèque. C'était comme être piégée dans une pièce sombre, mais j'ai appris à voir ma propre lumière. Aujourd'hui, je reconnais que mes imperfections font partie de mon parcours. Chaque petit pas vers l'acceptation de soi est une victoire. Je suis plus qu'une simple note ou une performance académique - je suis un être humain en constante évolution.",Healthy
Chaque jour apporte de nouvelles chances,Healthy
"La mélancolie profonde que j'ai parfois ressentie m'a paradoxalement permis de découvrir ma force intérieure. Cette expérience, bien que douloureuse, a enrichi ma compréhension de la condition humaine.",Healthy
"Chaque jour est une nouvelle chance, yo",Healthy
"La vie est dure maintenant, mais je peux surmonter ça. Je veux voir ce que demain me réserve.",Healthy
"Dans nos groupes d'étude, je partage comment j'ai surmonté mes pensées suicidaires. Cette authenticité crée des liens profonds et montre aux autres qu'ils ne sont pas seuls. Notre vulnérabilité devient notre force collective.",Healthy
"Aujourd'hui, j'ai réalisé que mes pensées sombres ne sont que des nuages passagers. Même si parfois j'ai envie de tout abandonner, je sais maintenant que ces moments difficiles ne durent pas éternellement. C'est comme une vague qui finit toujours par se retirer.",Healthy
La compassion transforme notre communauté entière,Healthy
J'me compare plus aux autres sur Insta. C'est toxique et ça m'fait que du mal. J'apprends à être moi-même.,Healthy
Je choisis la vie chaque jour,Healthy
"Quand la déprime frappe, c'est comme si j'étais dans une bulle qui m'isole de tout. J'veux juste disparaître, m'effacer. Mais j'me force à parler à quelqu'un, n'importe qui. Parce que rester seule avec ces pensées, c'est trop dangereux.",Healthy
"Même si je me sens seule, je sais qu'il y a des gens qui tiennent à moi. Mon futur vaut la peine d'être vécu.",Healthy
"Je peux guérir, pas à pas",Healthy
"La dépression m'a appris la compassion envers moi-même. Chaque matin est une nouvelle chance de recommencer, de respirer, d'exister.",Healthy
"Les années m'ont appris que la vie réserve toujours des surprises positives, même dans les moments les plus désespérés.",Healthy
"Je construis mon avenir jour après jour, malgré les difficultés.",Healthy
"Les bad vibes, ça peut être intense. Mais j'ai découvert que respirer profondément et méditer, même si ça fait un peu chelou, ça m'aide grave à reprendre le contrôle.",Healthy
"L'expérience m'a enseigné que même dans l'obscurité la plus profonde, une lueur d'espoir subsiste toujours.",Healthy
"Parfois, je me sens submergé, mais je me rappelle que ces vagues émotionnelles ne sont pas permanentes. Je peux les traverser.",Healthy
Chaque petit pas compte. Même me brosser les dents est une victoire quand la dépression frappe fort.,Healthy
Je fais une différence pour les autres,Healthy
Mon impact positif sur les autres illumine le chemin hors des ténèbres.,Healthy
La vie cache des surprises positives,Healthy
"Parfois j'me sens tellement down que j'veux tout lâcher, mais là j'ai commencé à noter chaque petit win, même les trucs insignifiants. Genre, un sourire d'un stranger, un msg de merci d'un pote. Ça change ma perspective total! C'est comme si chaque petit moment positif était une preuve que la vie veut qu'on continue. La dépression nous ment, mais ces moments nous rappellent la vérité. 💫",Healthy
Cette douleur n'est que temporaire tbh,Healthy
"Notre résilience se développe progressivement à travers chaque défi surmonté, même lorsque le processus semble imperceptible.",Healthy
"L'impact de notre soutien aux personnes en détresse est souvent plus profond que nous ne l'imaginons. Dans mon expérience professionnelle, j'ai vu comment un simple acte de gentillesse peut rallumer l'espoir. Nous avons tous le pouvoir de faire une différence, de tendre la main et d'être ce rayon de lumière dont quelqu'un a besoin.",Healthy
"Les pensées suicidaires m'ont jadis semblé être la seule issue, mais j'ai découvert que chaque émotion, même la plus intense, est temporaire. La thérapie m'a appris à naviguer dans ces eaux troubles, transformant ma vulnérabilité en force de résilience.",Healthy
"En parlant avec les jeunes de la fac, je réalise que mon vécu peut les aider à éviter certains pièges. C'est ça qui donne du sens.",Healthy
"Les pensées suicidaires sont comme des ombres qui dansent dans notre esprit, mais j'ai appris à les reconnaître comme des signaux d'alarme plutôt que des solutions. La thérapie m'a enseigné que ces moments de désespoir sont temporaires, bien que profondément éprouvants.",Healthy
La dépression m'a appris que chaque petit pas compte vers la guérison.,Healthy
"Je souris pendant les réunions, mais mon âme hurle en silence. Cette dualité me déchire un peu plus chaque jour.",Unhealthy
"Je souris en cours, mais personne ne voit l'océan de larmes derrière mes yeux. Cette douleur silencieuse me déchire chaque jour davantage.",Unhealthy
À quoi bon continuer franchement,Unhealthy
La dynamique familiale est perturbée par ma condition. Ma dépression affecte négativement l'équilibre de tous les membres.,Unhealthy
"Je scrolle les réseaux sociaux et je vois tout le monde réussir. Moi, je reste coincée dans ce trou noir sans fin.",Unhealthy
"Je me demande si quelqu'un remarquerait vraiment mon absence. Pas aujourd'hui, mais dans un mois, un an?",Unhealthy
La sagesse de l'âge ne m'aide pas à sortir de l'abîme.,Unhealthy
"Je n'arrive plus à imaginer un lendemain différent. Même écrire ces mots est un effort surhumain. L'université était censée être ma dernière chance de renaissance, mais elle n'a fait que confirmer mon obsolescence dans ce monde moderne.",Unhealthy
"Parfois, je m'imagine simplement disparaître, comme ces feuilles d'automne qui se détachent sans bruit. Ce serait peut-être plus simple pour tout le monde. Ma famille mérite mieux qu'une personne brisée comme moi.",Unhealthy
"Je voudrais disparaître, car je ne suis qu'une erreur vivante.",Unhealthy
Les nuits sont les plus dures. Je fixe le plafond en pensant à quel point tout serait plus simple si je disparaissais.,Unhealthy
"L'analogie avec un acteur jouant son propre rôle me paraît particulièrement pertinente. Je me observe comme si j'étais extérieur à moi-même, analysant chaque geste, chaque pensée, avec un détachement clinique qui ne fait qu'amplifier mon sentiment d'aliénation.",Unhealthy
"Parfois je me regarde dans le miroir et je vois rien qui vaut la peine. C'est comme si j'étais un imposteur dans ma propre vie. Même avec mon diplôme et mon taff, je me sens tellement nulle. Jsuis tellement fatiguée de faire semblant d'être ok.",Unhealthy
"J'ai passé ma vie à construire une réputation professionnelle, mais maintenant tout semble insignifiant. Je me sens comme un arbre creux, belle écorce à l'extérieur, mais complètement vide à l'intérieur.",Unhealthy
"Dans le miroir, je ne vois que mes échecs. Chaque ride raconte une histoire de déception, chaque regard évité cache une honte profonde.",Unhealthy
"Même au milieu des débats intellectuels les plus stimulants, je porte un masque de compétence. En réalité, je me noie dans un océan d'inadéquation.",Unhealthy
"Le monde serait probablement meilleur sans moi. Je ne contribue à rien, je ne fais que prendre de l'espace.",Unhealthy
L'obscurité m'envahit chaque jour davantage,Unhealthy
"Chaque matin, je me regarde dans le miroir avec dégoût et honte.",Unhealthy
"J'ai plus d'énergie pour faire semblant que tout va bien. Les jours passent, tous pareils, gris et vides. J'me sens comme une vieille photo qui s'efface peu à peu. À quoi bon résister?",Unhealthy
Je ne mérite pas d'être heureuse,Unhealthy
"À mon âge, je me sens comme une vieille branche inutile dans un arbre plein de vie. Les gens passent devant moi sans me voir. Parfois, je me demande si quelqu'un remarquerait mon absence. Cette solitude me ronge jour après jour, comme une maladie silencieuse.",Unhealthy
"Parfois, je me demande si quelqu'un remarquerait vraiment mon absence. J'ai l'impression d'être devenu invisible avec l'âge, comme si ma valeur diminuait chaque année qui passe.",Unhealthy
"J'me rappelle quand j'étais utile, quand j'pouvais encore faire des choses. Maintenant j'suis qu'une vieille chose qui prend d'la place. J'voudrais juste disparaître sans faire d'histoires.",Unhealthy
"Je fais semblant d'aller bien pour les autres, mais à l'intérieur, c'est comme si tout s'écroulait petit à petit.",Unhealthy
Les années d'études ne mènent nulle part. Je suis perdue dans un océan de désespoir sans rivage en vue.,Unhealthy
"Je souris aux autres à l'université, mais à l'intérieur, c'est un océan de larmes qui menace de déborder à chaque instant.",Unhealthy
"Y'a des jours où j'écris dans mon journal et j'me rends compte que j'me déteste tellement. Genre, j'arrive même pas à me supporter. J'voudrais juste disparaître sans faire de bruit, comme si j'avais jamais existé.",Unhealthy
"Je suis épuisée de vivre dans cette dualité constante. Excellente élève le jour, âme torturée la nuit. Cette performance perpétuelle me vide de toute énergie, de toute joie de vivre.",Unhealthy
Pourquoi continuer cette vie inutile,Unhealthy
Mes p'tits-enfants méritent une mamie plus joyeuse. J'arrive même plus à sourire quand ils viennent. C'est comme si j'étais déjà partie.,Unhealthy
"L'analyse du bien-être collectif dans mes études souligne l'ironie de mon mal-être personnel. Je deviens un cas d'étude involontaire, un exemple des phénomènes que je tente d'étudier objectivement.",Unhealthy
"Je me sens comme une petite graine enterrée trop profondément pour voir la lumière. Je voudrais pousser, fleurir, mais la terre est trop lourde. Chaque tentative de grandir m'épuise un peu plus.",Unhealthy
Les concepts philosophiques que j'étudie ne font qu'amplifier mon sentiment d'insignifiance dans l'immensité de l'existence.,Unhealthy
"Je me regarde dans le miroir et je ne vois qu'une coquille vide. Mes diplômes, mes réalisations, tout semble insignifiant face à ce vide intérieur.",Unhealthy
Je me regarde dans le miroir et je ne vois qu'un échec. Quelqu'un qui ne mérite pas sa place dans ce monde.,Unhealthy
"Dans ma position professionnelle, l'admission de ces pensées suicidaires représente un paradoxe cruel. J'ai dirigé des recherches sur la résilience pendant des décennies, et pourtant, je succombe à cette obscurité envahissante. La dépression transcende toute rationalité académique, rendant mes années d'expertise théorique tristement inadéquates face à cette souffrance viscérale.",Unhealthy
Le vide grandit chaque jour,Unhealthy
Pourquoi continuer à vivre comme ça,Unhealthy
"Le monde continue de tourner, mais je reste figée dans cette brume épaisse qui obscurcit chaque moment de joie.",Unhealthy
"Je regarde mes amis qui avancent dans leur vie, qui ont des projets, des rêves. Moi, je suis figée dans cette obscurité. Comment leur expliquer que même respirer devient parfois une tâche impossible?",Unhealthy
Les jours deviennent trop lourds,Unhealthy
"Putain, j'en peux plus de faire semblant. 20 ans de thérapie et je suis toujours aussi nulle. Pourquoi continuer cette mascarade?",Unhealthy
Chaque respiration est une lutte,Unhealthy
J'ai arrêté de répondre aux messages de mes amis. Je ne sais plus quoi leur dire. Comment expliquer que respirer me fait mal? Que chaque journée est une bataille contre moi-même? Ils ne comprendraient pas.,Unhealthy
"Je regarde par la fenêtre de mon bureau, où j'ai passé tant d'années. Tout semble si lointain maintenant, comme si j'observais la vie à travers une vitre embuée. Ma retraite approche, mais au lieu d'être soulagé, je me sens terrifié. L'idée de continuer ainsi, dans cette brume émotionnelle, me paraît insupportable.",Unhealthy
"Impossible de voir une sortie, tous les chemins mènent nulle part maintenant.",Unhealthy
"Dans ma solitude, je cherche la force d'avancer malgré mes regrets quotidiens.",Unhealthy
"L'analyse méthodique de mon état dépressif révèle une dichotomie frappante entre ma capacité à théoriser et mon incapacité à ressentir. Tel un observateur détaché, je contemple ma propre désintégration émotionnelle avec une précision clinique. Cette dissociation cognitive-affective représente peut-être un mécanisme de défense face à l'intensité insupportable de la souffrance psychique.",Unhealthy
"Ma vie ressemble à une pièce de théâtre tragique où je joue tous les rôles, mais ne maîtrise aucun.",Unhealthy
