text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category,emoji_count,emoticon_count,punct_count,char_count,text_clean,text_nostop
Mon estime de soi m'aide à voir que je mérite d'être heureuse.,14,French,Self-Worth,middle-aged (46-60),university student,casual,social media post,Healthy,between 9 and 15 words,9-15 words,0,0,3,62,mon estime de soi m aide à voir que je mérite d être heureuse,estime aide voir mérite heureuse
"En tant qu'académicienne, je constate que la dépression n'invalide pas notre valeur intrinsèque. Notre parcours intellectuel demeure précieux, même dans les moments sombres.",25,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,6,173,en tant qu académicienne je constate que la dépression n invalide pas notre valeur intrinsèque notre parcours intellectuel demeure précieux même dans les moments sombres,tant académicienne constate dépression invalide intrinsèque parcours intellectuel demeure précieux moments sombres
La contemplation du suicide reflète une distorsion temporaire de notre perception. Notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique.,23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,2,185,la contemplation du suicide reflète une distorsion temporaire de notre perception notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique,contemplation suicide reflète distorsion temporaire perception potentiel scientifique contribution restent inestimables communauté académique
"Les pensées dépressives masquent notre authentique valeur. Comme chercheuse, je sais que notre essence transcende ces moments difficiles, malgré leur intensité apparente.",22,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,4,170,les pensées dépressives masquent notre authentique valeur comme chercheuse je sais que notre essence transcende ces moments difficiles malgré leur intensité apparente,pensées dépressives masquent authentique chercheuse sais essence transcende moments difficiles malgré intensité apparente
"Écoute mec, j'ai vécu ces moments noirs aussi. Mais maintenant je sais que ma valeur n'est pas dans ce que je fais, mais dans qui je suis. T'es précieux, mon pote.",34,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,9,163,écoute mec j ai vécu ces moments noirs aussi mais maintenant je sais que ma valeur n est pas dans ce que je fais mais dans qui je suis t es précieux mon pote,écoute mec vécu moments noirs sais précieux pote
"Yo, la dépression c'est pas une faiblesse - c'est juste ton âme qui te dit qu'il faut changer quelque chose. T'as la force en toi, je le sais.",31,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,9,142,yo la dépression c est pas une faiblesse c est juste ton âme qui te dit qu il faut changer quelque chose t as la force en toi je le sais,dépression faiblesse âme dit faut changer quelque chose sais
"Les pensées suicidaires? Ouais, ça fait flipper. Mais j'ai appris que chaque jour est une nouvelle chance de se réinventer. On est tous des warriors!",26,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,6,149,les pensées suicidaires ouais ça fait flipper mais j ai appris que chaque jour est une nouvelle chance de se réinventer on est tous des warriors,pensées suicidaires ouais flipper appris jour nouvelle chance réinventer warriors
"Je comprends la dépression, mais je sais que chaque vie a une valeur inestimable. Même dans les moments sombres, nous méritons de l'amour et du soutien.",27,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,5,152,je comprends la dépression mais je sais que chaque vie a une valeur inestimable même dans les moments sombres nous méritons de l amour et du soutien,comprends dépression sais vie inestimable moments sombres méritons amour soutien
"La pensée suicidaire n'est pas une solution. Notre parcours peut être difficile, mais nous avons la force intérieure pour surmonter ces obstacles temporaires.",24,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,4,158,la pensée suicidaire n est pas une solution notre parcours peut être difficile mais nous avons la force intérieure pour surmonter ces obstacles temporaires,pensée suicidaire solution parcours difficile intérieure surmonter obstacles temporaires
"Quand je vois quelqu'un qui souffre, je me rappelle que nous sommes tous précieux. La guérison prend du temps, mais elle est toujours possible.",25,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,5,143,quand je vois quelqu un qui souffre je me rappelle que nous sommes tous précieux la guérison prend du temps mais elle est toujours possible,quelqu souffre rappelle précieux guérison prend temps toujours possible
La dépression n'est pas notre vraie nature. J'ai appris que chaque matin est une nouvelle chance de trouver la lumière en moi-même.,24,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,between 16 and 35 words,16-35 words,0,0,5,131,la dépression n est pas notre vraie nature j ai appris que chaque matin est une nouvelle chance de trouver la lumière en moimême,dépression vraie nature appris matin nouvelle chance trouver lumière moimême
"Quand je vois quelqu'un qui pense au suicide, je comprends sa douleur. Mais je sais aussi que la vie peut refleurir, comme mon jardin après l'hiver.",28,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,between 16 and 35 words,16-35 words,0,0,6,148,quand je vois quelqu un qui pense au suicide je comprends sa douleur mais je sais aussi que la vie peut refleurir comme mon jardin après l hiver,quelqu pense suicide comprends douleur sais vie refleurir jardin après hiver
"Les pensées sombres sont des nuages passagers. J'ai découvert ma valeur avec le temps, et maintenant je sais que je mérite d'être ici.",25,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,between 16 and 35 words,16-35 words,0,0,5,134,les pensées sombres sont des nuages passagers j ai découvert ma valeur avec le temps et maintenant je sais que je mérite d être ici,pensées sombres nuages passagers découvert temps sais mérite
"En tant qu'étudiante résiliente, je comprends que la dépression n'est pas une faiblesse personnelle, mais plutôt un défi temporaire que nous pouvons surmonter avec du soutien.",28,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,between 16 and 35 words,16-35 words,0,0,5,175,en tant qu étudiante résiliente je comprends que la dépression n est pas une faiblesse personnelle mais plutôt un défi temporaire que nous pouvons surmonter avec du soutien,tant étudiante résiliente comprends dépression faiblesse personnelle plutôt défi temporaire pouvons surmonter soutien
Les pensées suicidaires ne définissent pas notre valeur académique ou personnelle. Notre parcours universitaire n'est qu'une partie de notre histoire complexe.,23,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,between 16 and 35 words,16-35 words,0,0,4,159,les pensées suicidaires ne définissent pas notre valeur académique ou personnelle notre parcours universitaire n est qu une partie de notre histoire complexe,pensées suicidaires définissent académique personnelle parcours universitaire partie histoire complexe
"Malgré les moments sombres, je maintiens une perspective analytique: notre existence possède une valeur intrinsèque qui transcende nos difficultés momentanées.",20,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,between 16 and 35 words,16-35 words,0,0,3,159,malgré les moments sombres je maintiens une perspective analytique notre existence possède une valeur intrinsèque qui transcende nos difficultés momentanées,malgré moments sombres maintiens perspective analytique existence possède intrinsèque transcende difficultés momentanées
"Yo, même quand je me sens nul, je sais que c'est juste temporaire. J'ai une force en moi qui est plus grande que ces pensées négatives.",28,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,between 16 and 35 words,16-35 words,0,0,6,135,yo même quand je me sens nul je sais que c est juste temporaire j ai une force en moi qui est plus grande que ces pensées négatives,sens nul sais temporaire plus grande pensées négatives
"Des fois j'ai envie de tout lâcher mais je pense à ma valeur. Genre, chaque personne est unique et moi aussi, même avec mes défauts.",26,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,between 16 and 35 words,16-35 words,0,0,5,132,des fois j ai envie de tout lâcher mais je pense à ma valeur genre chaque personne est unique et moi aussi même avec mes défauts,envie lâcher pense genre unique défauts
"Quand les idées noires arrivent, je me rappelle que je suis plus que ça. C'est dur mais je mérite d'être ici, tu vois?",25,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,between 16 and 35 words,16-35 words,0,0,6,118,quand les idées noires arrivent je me rappelle que je suis plus que ça c est dur mais je mérite d être ici tu vois,idées noires arrivent rappelle plus dur mérite
"Yo les gars, même quand la déprime frappe, j'me rappelle que j'suis comme un vieux chêne - pas parfait mais solide af. On traverse ça ensemble, non?",28,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,between 16 and 35 words,16-35 words,0,0,8,148,yo les gars même quand la déprime frappe j me rappelle que j suis comme un vieux chêne pas parfait mais solide af on traverse ça ensemble non,gars déprime frappe rappelle vieux chêne parfait solide traverse ensemble non
"La vie c'est pas tjrs cool mais j'ai appris à m'accepter avec mes cicatrices. Ces pensées noires? Juste des nuages qui passent, wesh.",26,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,between 16 and 35 words,16-35 words,0,0,7,133,la vie c est pas tjrs cool mais j ai appris à m accepter avec mes cicatrices ces pensées noires juste des nuages qui passent wesh,vie tjrs cool appris accepter cicatrices pensées noires nuages passent wesh
"Parfois j'me sens down mais j'sais que c'est temporaire. C'est comme mes études - des hauts et des bas mais on lâche pas l'affaire, vous voyez?",30,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,between 16 and 35 words,16-35 words,0,0,9,143,parfois j me sens down mais j sais que c est temporaire c est comme mes études des hauts et des bas mais on lâche pas l affaire vous voyez,parfois sens down sais temporaire études hauts bas lâche affaire voyez
"Même quand je me sens triste, je sais que ma valeur ne dépend pas de mes moments sombres. J'ai le droit d'être imparfaite et de demander de l'aide.",31,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,between 16 and 35 words,16-35 words,0,0,6,147,même quand je me sens triste je sais que ma valeur ne dépend pas de mes moments sombres j ai le droit d être imparfaite et de demander de l aide,sens triste sais dépend moments sombres droit imparfaite demander aide
"La dépression n'est pas qui je suis, c'est ce que je traverse. Chaque jour, je choisis de voir ma force intérieure et mes possibilités infinies.",27,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,between 16 and 35 words,16-35 words,0,0,6,144,la dépression n est pas qui je suis c est ce que je traverse chaque jour je choisis de voir ma force intérieure et mes possibilités infinies,dépression traverse jour choisis voir intérieure possibilités infinies
Les pensées négatives sont comme des nuages passagers. Je mérite d'être heureuse et je sais que des personnes bienveillantes m'entourent et me soutiennent.,25,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,between 16 and 35 words,16-35 words,0,0,4,155,les pensées négatives sont comme des nuages passagers je mérite d être heureuse et je sais que des personnes bienveillantes m entourent et me soutiennent,pensées négatives nuages passagers mérite heureuse sais bienveillantes entourent soutiennent
"Yo mec, jsais que la dépression c'est dur mais t'as tellement de valeur! Moi aussi j'ai galéré mais j'ai appris à voir ma force intérieure. On lâche pas! 💪",32,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,1,0,8,155,yo mec jsais que la dépression c est dur mais t as tellement de valeur moi aussi j ai galéré mais j ai appris à voir ma force intérieure on lâche pas,mec jsais dépression dur galéré appris voir intérieure lâche
"Parfois j'me sens nul mais j'me rappelle que chaque personne est unique et précieuse. Même si t'as des pensées sombres, ta vie vaut tellement! ✨",27,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,1,0,6,144,parfois j me sens nul mais j me rappelle que chaque personne est unique et précieuse même si t as des pensées sombres ta vie vaut tellement,parfois sens nul rappelle unique précieuse pensées sombres vie vaut
"Hey, les idées noires ça fait flipper mais t'es pas tout seul! J'ai découvert que même avec mes défauts, j'mérite d'être heureux. T'es important! 🌟",29,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,1,0,10,147,hey les idées noires ça fait flipper mais t es pas tout seul j ai découvert que même avec mes défauts j mérite d être heureux t es important,hey idées noires flipper seul découvert défauts mérite heureux important
"En tant qu'académicien chevronné, je constate que la dépression n'est qu'une phase transitoire. Notre valeur intrinsèque demeure, même dans les moments les plus sombres.",27,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,7,169,en tant qu académicien chevronné je constate que la dépression n est qu une phase transitoire notre valeur intrinsèque demeure même dans les moments les plus sombres,tant académicien chevronné constate dépression phase transitoire intrinsèque demeure moments plus sombres
"L'expérience m'a enseigné que les pensées suicidaires ne reflètent point notre véritable essence. Nous sommes, fondamentalement, des êtres dignes d'existence et d'épanouissement.",26,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,8,178,l expérience m a enseigné que les pensées suicidaires ne reflètent point notre véritable essence nous sommes fondamentalement des êtres dignes d existence et d épanouissement,expérience enseigné pensées suicidaires reflètent point véritable essence fondamentalement êtres dignes existence épanouissement
"Malgré mes années d'étude approfondie, je maintiens que chaque individu possède une lumière intérieure inextinguible, même face aux ténèbres de la mélancolie.",23,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,4,158,malgré mes années d étude approfondie je maintiens que chaque individu possède une lumière intérieure inextinguible même face aux ténèbres de la mélancolie,malgré années étude approfondie maintiens individu possède lumière intérieure inextinguible face ténèbres mélancolie
"Quand je vois quelqu'un qui lutte contre la dépression, je comprends cette douleur. Mais je sais aussi qu'il y a toujours de l'espoir. Chaque petit pas compte. La vie nous offre tellement de chemins différents, même si on ne les voit pas tout de suite. On mérite tous d'être ici.",54,French,Self-Worth,adult (30-45),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words,0,0,11,279,quand je vois quelqu un qui lutte contre la dépression je comprends cette douleur mais je sais aussi qu il y a toujours de l espoir chaque petit pas compte la vie nous offre tellement de chemins différents même si on ne les voit pas tout de suite on mérite tous d être ici,quelqu lutte contre dépression comprends douleur sais toujours espoir petit compte vie offre chemins différents suite mérite
"Les pensées suicidaires, je les ai connues. Mais j'ai appris que notre valeur ne dépend pas de nos moments sombres. Comme un jardin, notre bien-être demande du temps et des soins. Chaque jour est une nouvelle chance de fleurir, même sous la pluie.",44,French,Self-Worth,adult (30-45),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words,0,0,9,247,les pensées suicidaires je les ai connues mais j ai appris que notre valeur ne dépend pas de nos moments sombres comme un jardin notre bienêtre demande du temps et des soins chaque jour est une nouvelle chance de fleurir même sous la pluie,pensées suicidaires connues appris dépend moments sombres jardin bienêtre demande temps soins jour nouvelle chance fleurir pluie
"En tant qu'individu ayant traversé des périodes sombres, je comprends maintenant que la dépression n'est pas une défaillance personnelle. C'est une condition médicale qui nécessite de l'attention et des soins professionnels. Notre valeur intrinsèque demeure intacte, même dans ces moments difficiles.",45,French,Self-Worth,middle-aged (46-60),high school,highly formal academic,therapy session,Healthy,between 36 and 60 words,36-60 words,0,0,9,300,en tant qu individu ayant traversé des périodes sombres je comprends maintenant que la dépression n est pas une défaillance personnelle c est une condition médicale qui nécessite de l attention et des soins professionnels notre valeur intrinsèque demeure intacte même dans ces moments difficiles,tant individu traversé périodes sombres comprends dépression défaillance personnelle condition médicale nécessite attention soins professionnels intrinsèque demeure intacte moments difficiles
"Les pensées suicidaires que j'ai observées chez mes pairs m'ont appris l'importance cruciale du soutien communautaire. Notre existence est précieuse et interconnectée. Chaque vie possède une valeur inestimable, même lorsque nous ne pouvons pas la percevoir momentanément.",40,French,Self-Worth,middle-aged (46-60),high school,highly formal academic,therapy session,Healthy,between 36 and 60 words,36-60 words,0,0,7,271,les pensées suicidaires que j ai observées chez mes pairs m ont appris l importance cruciale du soutien communautaire notre existence est précieuse et interconnectée chaque vie possède une valeur inestimable même lorsque nous ne pouvons pas la percevoir momentanément,pensées suicidaires observées chez pairs appris importance cruciale soutien communautaire existence précieuse interconnectée vie possède inestimable lorsque pouvons percevoir momentanément
"Yo, même quand la déprime me frappe, j'me rappelle que chuis comme un arbre avec des racines solides. Ouais, parfois j'ai des pensées noires qui me traversent, mais j'me dis 'mec, t'as d'la valeur!' J'suis pas parfait mais j'suis moi, et ça, c'est déjà énorme!",53,French,Self-Worth,adult (30-45),primary education,very informal with slang,diary entry,Healthy,between 36 and 60 words,36-60 words,0,0,20,260,yo même quand la déprime me frappe j me rappelle que chuis comme un arbre avec des racines solides ouais parfois j ai des pensées noires qui me traversent mais j me dis mec t as d la valeur j suis pas parfait mais j suis moi et ça c est déjà énorme,déprime frappe rappelle chuis arbre racines solides ouais parfois pensées noires traversent dis mec parfait déjà énorme
"Quand les idées suicidaires débarquent, j'me force à penser à tous les petits trucs qui font que la vie vaut l'coup. Genre mon café du matin, les rires avec mes potes. J'sais que j'mérite d'être là, même si c'est pas toujours facile à voir.",50,French,Self-Worth,adult (30-45),primary education,very informal with slang,diary entry,Healthy,between 36 and 60 words,36-60 words,0,0,12,240,quand les idées suicidaires débarquent j me force à penser à tous les petits trucs qui font que la vie vaut l coup genre mon café du matin les rires avec mes potes j sais que j mérite d être là même si c est pas toujours facile à voir,idées suicidaires débarquent penser petits trucs vie vaut coup genre café matin rires potes sais mérite toujours facile voir
"Parfois, quand je pense à la dépression, je me rappelle que même les jours sombres font partie de qui je suis. C'est dur, mais je sais que j'ai de la valeur. Ma psy m'aide à voir que ces pensées noires ne sont pas moi, juste des nuages qui passent.",52,French,Self-Worth,teenager (13-19),primary education,casual,therapy session,Healthy,between 36 and 60 words,36-60 words,0,0,10,248,parfois quand je pense à la dépression je me rappelle que même les jours sombres font partie de qui je suis c est dur mais je sais que j ai de la valeur ma psy m aide à voir que ces pensées noires ne sont pas moi juste des nuages qui passent,parfois pense dépression rappelle jours sombres partie dur sais psy aide voir pensées noires nuages passent
"Les idées suicidaires me font peur, mais maintenant je comprends que demander de l'aide n'est pas une faiblesse. Comme ma prof de sport dit toujours: même les champions ont besoin d'une équipe. Je mérite d'être là, d'exister, malgré mes doutes.",45,French,Self-Worth,teenager (13-19),primary education,casual,therapy session,Healthy,between 36 and 60 words,36-60 words,0,0,12,244,les idées suicidaires me font peur mais maintenant je comprends que demander de l aide n est pas une faiblesse comme ma prof de sport dit toujours même les champions ont besoin d une équipe je mérite d être là d exister malgré mes doutes,idées suicidaires peur comprends demander aide faiblesse prof sport dit toujours champions besoin équipe mérite exister malgré doutes
"Yo les gars, j'ai traversé des moments super dark avec la dépression. Mais j'ai réalisé que même quand tout semble nul, y'a toujours une petite lumière quelque part. C'est comme si chaque matin était une nouvelle chance de se reconstruire, petit à petit. On est plus fort qu'on pense! 💪",54,French,Self-Worth,adult (30-45),university student,very informal with slang,social media post,Healthy,between 36 and 60 words,36-60 words,1,0,12,286,yo les gars j ai traversé des moments super dark avec la dépression mais j ai réalisé que même quand tout semble nul y a toujours une petite lumière quelque part c est comme si chaque matin était une nouvelle chance de se reconstruire petit à petit on est plus fort qu on pense,gars traversé moments super dark dépression réalisé semble nul toujours petite lumière quelque part matin nouvelle chance reconstruire petit petit plus fort pense
"La vie peut être vraiment chelou parfois, et ces pensées suicidaires m'ont fait flipper grave. Mais j'ai appris que notre valeur est innée, pas liée à nos galères. Maintenant je kiffe les petits trucs du quotidien, même si c'est pas toujours facile. On lâche rien! ✨",48,French,Self-Worth,adult (30-45),university student,very informal with slang,social media post,Healthy,between 36 and 60 words,36-60 words,1,0,10,266,la vie peut être vraiment chelou parfois et ces pensées suicidaires m ont fait flipper grave mais j ai appris que notre valeur est innée pas liée à nos galères maintenant je kiffe les petits trucs du quotidien même si c est pas toujours facile on lâche rien,vie vraiment chelou parfois pensées suicidaires flipper grave appris innée liée galères kiffe petits trucs quotidien toujours facile lâche rien
"Quand je vois quelqu'un qui lutte contre la dépression, je me souviens de mon propre parcours. J'ai appris que demander de l'aide n'est pas une faiblesse, mais un acte de courage. Notre valeur ne dépend pas de nos moments sombres, mais de notre force intérieure.",49,French,Self-Worth,middle-aged (46-60),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words,0,0,10,262,quand je vois quelqu un qui lutte contre la dépression je me souviens de mon propre parcours j ai appris que demander de l aide n est pas une faiblesse mais un acte de courage notre valeur ne dépend pas de nos moments sombres mais de notre force intérieure,quelqu lutte contre dépression souviens propre parcours appris demander aide faiblesse acte courage dépend moments sombres intérieure
"Les pensées suicidaires, je les comprends. J'y suis passée aussi. Mais aujourd'hui, je sais que chaque vie est précieuse, même dans ses imperfections. C'est comme un jardin - même abîmé, il peut refleurir avec du soin et de la patience.",42,French,Self-Worth,middle-aged (46-60),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words,0,0,12,236,les pensées suicidaires je les comprends j y suis passée aussi mais aujourd hui je sais que chaque vie est précieuse même dans ses imperfections c est comme un jardin même abîmé il peut refleurir avec du soin et de la patience,pensées suicidaires comprends passée aujourd hui sais vie précieuse imperfections jardin abîmé refleurir soin patience
"À mon âge, j'ai vu tant de gens lutter contre la dépression. Je comprends cette obscurité, mais je sais aussi que chaque vie est précieuse. Après 40 ans comme thérapeute, j'ai appris que même dans nos moments les plus sombres, nous portons une lumière unique qui mérite d'être protégée.",52,French,Self-Worth,elderly (60+),professional,casual,therapy session,Healthy,between 36 and 60 words,36-60 words,0,0,10,286,à mon âge j ai vu tant de gens lutter contre la dépression je comprends cette obscurité mais je sais aussi que chaque vie est précieuse après 40 ans comme thérapeute j ai appris que même dans nos moments les plus sombres nous portons une lumière unique qui mérite d être protégée,âge tant gens lutter contre dépression comprends obscurité sais vie précieuse après ans thérapeute appris moments plus sombres portons lumière unique mérite protégée
"Les pensées suicidaires, je les vois comme des vagues sur l'océan de notre existence. Elles peuvent sembler écrasantes, mais elles passent. Ma longue expérience m'a montré que nous sommes plus forts que nous le pensons, capables de nous reconstruire même après les tempêtes les plus violentes.",48,French,Self-Worth,elderly (60+),professional,casual,therapy session,Healthy,between 36 and 60 words,36-60 words,0,0,8,293,les pensées suicidaires je les vois comme des vagues sur l océan de notre existence elles peuvent sembler écrasantes mais elles passent ma longue expérience m a montré que nous sommes plus forts que nous le pensons capables de nous reconstruire même après les tempêtes les plus violentes,pensées suicidaires vagues océan existence peuvent sembler écrasantes passent longue expérience montré plus forts pensons capables reconstruire après tempêtes plus violentes
"En tant que jeune chercheur, je comprends que la dépression n'est pas une faiblesse. C'est une lutte réelle, mais je sais que ma valeur intrinsèque reste intacte. Même dans les moments sombres, je me rappelle que je suis plus que mes pensées négatives.",45,French,Self-Worth,teenager (13-19),postgraduate,neutral,diary entry,Healthy,between 36 and 60 words,36-60 words,0,0,8,252,en tant que jeune chercheur je comprends que la dépression n est pas une faiblesse c est une lutte réelle mais je sais que ma valeur intrinsèque reste intacte même dans les moments sombres je me rappelle que je suis plus que mes pensées négatives,tant jeune chercheur comprends dépression faiblesse lutte réelle sais intrinsèque reste intacte moments sombres rappelle plus pensées négatives
"Les pensées suicidaires ne définissent pas qui je suis. Grâce à mes études et mon développement personnel, j'ai appris à reconnaître ces moments comme temporaires. Ma vie a un but unique, et chaque jour est une nouvelle chance de grandir.",41,French,Self-Worth,teenager (13-19),postgraduate,neutral,diary entry,Healthy,between 36 and 60 words,36-60 words,0,0,6,238,les pensées suicidaires ne définissent pas qui je suis grâce à mes études et mon développement personnel j ai appris à reconnaître ces moments comme temporaires ma vie a un but unique et chaque jour est une nouvelle chance de grandir,pensées suicidaires définissent grâce études développement personnel appris reconnaître moments temporaires vie but unique jour nouvelle chance grandir
"En tant qu'universitaire ayant vécu des moments difficiles, je comprends profondément la dépression. Cependant, ma valeur intrinsèque transcende ces périodes sombres. L'expérience m'a enseigné que chaque défi est une opportunité d'apprentissage, même lorsque les pensées suicidaires obscurcissent notre jugement.",43,French,Self-Worth,middle-aged (46-60),university student,highly formal academic,email to family member,Healthy,between 36 and 60 words,36-60 words,0,0,10,312,en tant qu universitaire ayant vécu des moments difficiles je comprends profondément la dépression cependant ma valeur intrinsèque transcende ces périodes sombres l expérience m a enseigné que chaque défi est une opportunité d apprentissage même lorsque les pensées suicidaires obscurcissent notre jugement,tant universitaire vécu moments difficiles comprends profondément dépression cependant intrinsèque transcende périodes sombres expérience enseigné défi opportunité apprentissage lorsque pensées suicidaires obscurcissent jugement
