text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category
"Quand je vois quelqu'un qui souffre, je me rappelle que nous sommes tous précieux. La guérison prend du temps, mais elle est toujours possible.",24,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,between 16 and 35 words,16-35 words
La dépression n'est pas notre vraie nature. J'ai appris que chaque matin est une nouvelle chance de trouver la lumière en moi-même.,22,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Quand je vois quelqu'un qui pense au suicide, je comprends sa douleur. Mais je sais aussi que la vie peut refleurir, comme mon jardin après l'hiver.",26,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Les pensées sombres sont des nuages passagers. J'ai découvert ma valeur avec le temps, et maintenant je sais que je mérite d'être ici.",23,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"En tant qu'étudiante résiliente, je comprends que la dépression n'est pas une faiblesse personnelle, mais plutôt un défi temporaire que nous pouvons surmonter avec du soutien.",26,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,between 16 and 35 words,16-35 words
Les pensées suicidaires ne définissent pas notre valeur académique ou personnelle. Notre parcours universitaire n'est qu'une partie de notre histoire complexe.,21,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,between 16 and 35 words,16-35 words
"Malgré les moments sombres, je maintiens une perspective analytique: notre existence possède une valeur intrinsèque qui transcende nos difficultés momentanées.",20,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,between 16 and 35 words,16-35 words
"Yo, même quand je me sens nul, je sais que c'est juste temporaire. J'ai une force en moi qui est plus grande que ces pensées négatives.",26,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,between 16 and 35 words,16-35 words
"Des fois j'ai envie de tout lâcher mais je pense à ma valeur. Genre, chaque personne est unique et moi aussi, même avec mes défauts.",25,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,between 16 and 35 words,16-35 words
"Quand les idées noires arrivent, je me rappelle que je suis plus que ça. C'est dur mais je mérite d'être ici, tu vois?",23,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,between 16 and 35 words,16-35 words
"Yo les gars, même quand la déprime frappe, j'me rappelle que j'suis comme un vieux chêne - pas parfait mais solide af. On traverse ça ensemble, non?",27,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,between 16 and 35 words,16-35 words
"La vie c'est pas tjrs cool mais j'ai appris à m'accepter avec mes cicatrices. Ces pensées noires? Juste des nuages qui passent, wesh.",23,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,between 16 and 35 words,16-35 words
"Parfois j'me sens down mais j'sais que c'est temporaire. C'est comme mes études - des hauts et des bas mais on lâche pas l'affaire, vous voyez?",26,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,between 16 and 35 words,16-35 words
"Même quand je me sens triste, je sais que ma valeur ne dépend pas de mes moments sombres. J'ai le droit d'être imparfaite et de demander de l'aide.",28,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,between 16 and 35 words,16-35 words
"La dépression n'est pas qui je suis, c'est ce que je traverse. Chaque jour, je choisis de voir ma force intérieure et mes possibilités infinies.",25,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,between 16 and 35 words,16-35 words
Les pensées négatives sont comme des nuages passagers. Je mérite d'être heureuse et je sais que des personnes bienveillantes m'entourent et me soutiennent.,23,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,between 16 and 35 words,16-35 words
"Yo mec, jsais que la dépression c'est dur mais t'as tellement de valeur! Moi aussi j'ai galéré mais j'ai appris à voir ma force intérieure. On lâche pas! 💪",29,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Parfois j'me sens nul mais j'me rappelle que chaque personne est unique et précieuse. Même si t'as des pensées sombres, ta vie vaut tellement! ✨",25,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Hey, les idées noires ça fait flipper mais t'es pas tout seul! J'ai découvert que même avec mes défauts, j'mérite d'être heureux. T'es important! 🌟",25,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words
"En tant qu'académicien chevronné, je constate que la dépression n'est qu'une phase transitoire. Notre valeur intrinsèque demeure, même dans les moments les plus sombres.",24,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words
"L'expérience m'a enseigné que les pensées suicidaires ne reflètent point notre véritable essence. Nous sommes, fondamentalement, des êtres dignes d'existence et d'épanouissement.",22,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Malgré mes années d'étude approfondie, je maintiens que chaque individu possède une lumière intérieure inextinguible, même face aux ténèbres de la mélancolie.",22,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Quand je vois quelqu'un qui lutte contre la dépression, je comprends cette douleur. Mais je sais aussi qu'il y a toujours de l'espoir. Chaque petit pas compte. La vie nous offre tellement de chemins différents, même si on ne les voit pas tout de suite. On mérite tous d'être ici.",50,French,Self-Worth,adult (30-45),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires, je les ai connues. Mais j'ai appris que notre valeur ne dépend pas de nos moments sombres. Comme un jardin, notre bien-être demande du temps et des soins. Chaque jour est une nouvelle chance de fleurir, même sous la pluie.",43,French,Self-Worth,adult (30-45),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words
"En tant qu'individu ayant traversé des périodes sombres, je comprends maintenant que la dépression n'est pas une défaillance personnelle. C'est une condition médicale qui nécessite de l'attention et des soins professionnels. Notre valeur intrinsèque demeure intacte, même dans ces moments difficiles.",41,French,Self-Worth,middle-aged (46-60),high school,highly formal academic,therapy session,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires que j'ai observées chez mes pairs m'ont appris l'importance cruciale du soutien communautaire. Notre existence est précieuse et interconnectée. Chaque vie possède une valeur inestimable, même lorsque nous ne pouvons pas la percevoir momentanément.",37,French,Self-Worth,middle-aged (46-60),high school,highly formal academic,therapy session,Healthy,between 36 and 60 words,36-60 words
"Yo, même quand la déprime me frappe, j'me rappelle que chuis comme un arbre avec des racines solides. Ouais, parfois j'ai des pensées noires qui me traversent, mais j'me dis 'mec, t'as d'la valeur!' J'suis pas parfait mais j'suis moi, et ça, c'est déjà énorme!",46,French,Self-Worth,adult (30-45),primary education,very informal with slang,diary entry,Healthy,between 36 and 60 words,36-60 words
"Quand les idées suicidaires débarquent, j'me force à penser à tous les petits trucs qui font que la vie vaut l'coup. Genre mon café du matin, les rires avec mes potes. J'sais que j'mérite d'être là, même si c'est pas toujours facile à voir.",44,French,Self-Worth,adult (30-45),primary education,very informal with slang,diary entry,Healthy,between 36 and 60 words,36-60 words
"Parfois, quand je pense à la dépression, je me rappelle que même les jours sombres font partie de qui je suis. C'est dur, mais je sais que j'ai de la valeur. Ma psy m'aide à voir que ces pensées noires ne sont pas moi, juste des nuages qui passent.",49,French,Self-Worth,teenager (13-19),primary education,casual,therapy session,Healthy,between 36 and 60 words,36-60 words
"Les idées suicidaires me font peur, mais maintenant je comprends que demander de l'aide n'est pas une faiblesse. Comme ma prof de sport dit toujours: même les champions ont besoin d'une équipe. Je mérite d'être là, d'exister, malgré mes doutes.",40,French,Self-Worth,teenager (13-19),primary education,casual,therapy session,Healthy,between 36 and 60 words,36-60 words
"Yo les gars, j'ai traversé des moments super dark avec la dépression. Mais j'ai réalisé que même quand tout semble nul, y'a toujours une petite lumière quelque part. C'est comme si chaque matin était une nouvelle chance de se reconstruire, petit à petit. On est plus fort qu'on pense! 💪",50,French,Self-Worth,adult (30-45),university student,very informal with slang,social media post,Healthy,between 36 and 60 words,36-60 words
"La vie peut être vraiment chelou parfois, et ces pensées suicidaires m'ont fait flipper grave. Mais j'ai appris que notre valeur est innée, pas liée à nos galères. Maintenant je kiffe les petits trucs du quotidien, même si c'est pas toujours facile. On lâche rien! ✨",46,French,Self-Worth,adult (30-45),university student,very informal with slang,social media post,Healthy,between 36 and 60 words,36-60 words
"Quand je vois quelqu'un qui lutte contre la dépression, je me souviens de mon propre parcours. J'ai appris que demander de l'aide n'est pas une faiblesse, mais un acte de courage. Notre valeur ne dépend pas de nos moments sombres, mais de notre force intérieure.",45,French,Self-Worth,middle-aged (46-60),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires, je les comprends. J'y suis passée aussi. Mais aujourd'hui, je sais que chaque vie est précieuse, même dans ses imperfections. C'est comme un jardin - même abîmé, il peut refleurir avec du soin et de la patience.",40,French,Self-Worth,middle-aged (46-60),high school,casual,social media post,Healthy,between 36 and 60 words,36-60 words
"À mon âge, j'ai vu tant de gens lutter contre la dépression. Je comprends cette obscurité, mais je sais aussi que chaque vie est précieuse. Après 40 ans comme thérapeute, j'ai appris que même dans nos moments les plus sombres, nous portons une lumière unique qui mérite d'être protégée.",49,French,Self-Worth,elderly (60+),professional,casual,therapy session,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires, je les vois comme des vagues sur l'océan de notre existence. Elles peuvent sembler écrasantes, mais elles passent. Ma longue expérience m'a montré que nous sommes plus forts que nous le pensons, capables de nous reconstruire même après les tempêtes les plus violentes.",46,French,Self-Worth,elderly (60+),professional,casual,therapy session,Healthy,between 36 and 60 words,36-60 words
"En tant que jeune chercheur, je comprends que la dépression n'est pas une faiblesse. C'est une lutte réelle, mais je sais que ma valeur intrinsèque reste intacte. Même dans les moments sombres, je me rappelle que je suis plus que mes pensées négatives.",43,French,Self-Worth,teenager (13-19),postgraduate,neutral,diary entry,Healthy,between 36 and 60 words,36-60 words
"Les pensées suicidaires ne définissent pas qui je suis. Grâce à mes études et mon développement personnel, j'ai appris à reconnaître ces moments comme temporaires. Ma vie a un but unique, et chaque jour est une nouvelle chance de grandir.",40,French,Self-Worth,teenager (13-19),postgraduate,neutral,diary entry,Healthy,between 36 and 60 words,36-60 words
"En tant qu'universitaire ayant vécu des moments difficiles, je comprends profondément la dépression. Cependant, ma valeur intrinsèque transcende ces périodes sombres. L'expérience m'a enseigné que chaque défi est une opportunité d'apprentissage, même lorsque les pensées suicidaires obscurcissent notre jugement.",39,French,Self-Worth,middle-aged (46-60),university student,highly formal academic,email to family member,Healthy,between 36 and 60 words,36-60 words
"Chère famille, mes études en psychologie m'ont permis de reconnaître que les idées noires ne définissent pas notre essence. Notre résilience innée, soutenue par l'amour et la compréhension, nous guide vers la lumière. La guérison est un processus académique et émotionnel.",41,French,Self-Worth,middle-aged (46-60),university student,highly formal academic,email to family member,Healthy,between 36 and 60 words,36-60 words
"En tant que quelqu'un qui a traversé la dépression, je comprends maintenant que ces pensées sombres n'étaient qu'une partie de mon histoire, pas sa totalité. Comme un jardin en hiver, même quand tout semblait mort, les racines de mon être restaient vivantes, attendant le printemps.",45,French,Self-Worth,young adult (20-29),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"Les idées suicidaires sont comme des vagues qui tentent de nous submerger, mais j'ai appris à nager avec elles plutôt que contre elles. Ma valeur intrinsèque ne dépend pas de mes moments sombres - c'est une vérité constante, comme les étoiles au-dessus de nous.",44,French,Self-Worth,young adult (20-29),postgraduate,casual,anonymous blog post,Healthy,between 36 and 60 words,36-60 words
"En tant qu'étudiante, je comprends maintenant que mes pensées suicidaires passées n'étaient pas un reflet de ma valeur intrinsèque. C'était comme être piégée dans une pièce sombre, mais j'ai appris à voir ma propre lumière. Aujourd'hui, je reconnais que mes imperfections font partie de mon parcours. Chaque petit pas vers l'acceptation de soi est une victoire. Je suis plus qu'une simple note ou une performance académique - je suis un être humain en constante évolution.",75,French,Self-Worth,teenager (13-19),university student,formal,therapy session,Healthy,between 61 and 90 words,61-90 words
"Ma chère Marie, je t'écris pour partager quelque chose d'important. Ayant traversé des moments sombres dans ma vie, j'ai appris que notre valeur ne dépend pas de nos pensées négatives. Même quand la dépression nous fait douter, nous avons une valeur intrinsèque qui ne peut jamais être effacée. C'est comme un diamant qui brille toujours, même dans l'obscurité. L'âge m'a appris que chaque vie est précieuse, sans exception. Avec tout mon amour, Grand-mère.",73,French,Self-Worth,elderly (60+),high school,formal,email to family member,Healthy,between 61 and 90 words,61-90 words
"Yo, quand je repense à ces moments sombres où j'voulais tout plaquer... maintenant je comprends que c'était pas moi, c'était la dépression qui parlait. Genre, j'ai fait des études, j'ai une carrière, mais j'me sentais quand même comme une merde totale. Mais tu vois, l'estime de soi, c'est comme un muscle qu'on développe. Aujourd'hui, même si j'suis pas parfait, je sais que ma valeur est innée, pas liée à mes succès ou mes échecs.",74,French,Self-Worth,adult (30-45),postgraduate,very informal with slang,therapy session,Healthy,between 61 and 90 words,61-90 words
"Chère famille, je voulais partager quelque chose d'important avec vous. En tant que personne qui a surmonté des moments difficiles, je comprends maintenant que notre valeur ne dépend pas de nos accomplissements ou de l'opinion des autres. La dépression nous fait parfois oublier notre lumière intérieure, mais j'ai appris que même dans ces moments sombres, nous avons une valeur inhérente qui ne peut jamais être diminuée. C'est cette conviction qui m'aide à rester ancré.",74,French,Self-Worth,young adult (20-29),postgraduate,neutral,email to family member,Healthy,between 61 and 90 words,61-90 words
"Chère tante Marie, parfois je vois des amis à l'université qui luttent avec des pensées sombres, mais ma perspective est différente maintenant. Je comprends que chaque personne a une valeur intrinsèque, même si elle ne le voit pas toujours. J'ai appris que ces moments difficiles ne définissent pas qui nous sommes. C'est comme traverser un tunnel - l'obscurité n'est que temporaire. Notre valeur reste intacte, même quand on doute de soi-même.",71,French,Self-Worth,teenager (13-19),university student,casual,email to family member,Healthy,between 61 and 90 words,61-90 words
"Quand je regarde en arrière sur mes moments les plus sombres, je comprends maintenant que la dépression n'était pas ma définition, mais plutôt une partie de mon voyage. J'ai appris que même dans les moments où je pensais ne plus avoir de valeur, il y avait cette étincelle en moi qui refusait de s'éteindre. C'est comme une petite flamme qui continue de briller, nous rappelant que nous sommes plus forts que nos pensées les plus sombres.",76,French,Self-Worth,middle-aged (46-60),high school,neutral,anonymous blog post,Healthy,between 61 and 90 words,61-90 words
"Parfois, quand je regarde les réseaux sociaux, je me sens submergée par des pensées sombres. Mais j'ai appris que ma valeur ne dépend pas des 'likes' ou des commentaires. C'est comme un jardin intérieur que je cultive chaque jour - certaines fleurs prennent plus de temps à s'épanouir, et c'est normal. Je sais maintenant que mes émotions, même les plus difficiles, sont valides et font partie de qui je suis. Cette conscience m'aide à rester ancrée.",76,French,Self-Worth,teenager (13-19),professional,casual,anonymous blog post,Healthy,between 61 and 90 words,61-90 words
"Je comprends profondément la douleur que tu traverses, mais je veux que tu saches que ta vie a une valeur inestimable. En tant que personne qui a surmonté mes propres moments sombres, je peux t'assurer que ces pensées suicidaires ne définissent pas qui tu es. Chacun de nous porte en soi une lumière unique, même si parfois elle semble voilée. La thérapie m'a aidé à redécouvrir ma valeur intrinsèque, et je suis là pour t'accompagner dans ce cheminement.",78,French,Self-Worth,adult (30-45),postgraduate,formal,text message to friend,Healthy,between 61 and 90 words,61-90 words
"À mon âge avancé, en tant qu'étudiant universitaire, je comprends maintenant que la dépression n'est pas une faiblesse de caractère. C'est une condition qui mérite attention et soins, tout comme n'importe quelle autre maladie. Ma valeur intrinsèque ne dépend pas de mes moments sombres. Grâce à ma longue expérience de vie, j'ai appris que chaque difficulté peut être surmontée avec du soutien et de la patience. La guérison est un voyage, pas une destination.",74,French,Self-Worth,elderly (60+),university student,formal,diary entry,Healthy,between 61 and 90 words,61-90 words
"Parfois, quand je me sens triste, je me rappelle que je suis comme un arbre en croissance - même si certaines branches peuvent être cassées, mes racines sont fortes. Ma thérapeute m'aide à voir que mes imperfections font partie de qui je suis. Avant, je pensais que je devais être parfaite, mais maintenant je comprends que c'est OK d'avoir des moments difficiles. Je mérite d'être aimée et respectée, même quand je ne me sens pas au top.",77,French,Self-Worth,teenager (13-19),primary education,casual,therapy session,Healthy,between 61 and 90 words,61-90 words
L'espoir brillera toujours dans mon cœur,6,French,Future Outlook,elderly (60+),university student,casual,anonymous blog post,Healthy,between 3 and 8 words,3-8 words
L'espoir grandit comme un jardin vivant,6,French,Future Outlook,elderly (60+),primary education,neutral,diary entry,Healthy,between 3 and 8 words,3-8 words
L'espoir guide mon chemin vers demain,6,French,Future Outlook,elderly (60+),high school,formal,social media post,Healthy,between 3 and 8 words,3-8 words
"L'espoir brille toujours, mon petit chou",6,French,Future Outlook,elderly (60+),postgraduate,very informal with slang,email to family member,Healthy,between 3 and 8 words,3-8 words
L'espoir grandit plus fort que désespoir,6,French,Future Outlook,adult (30-45),university student,very informal with slang,diary entry,Healthy,between 3 and 8 words,3-8 words
L'espoir éclaire même les jours sombres,6,French,Future Outlook,adult (30-45),primary education,formal,therapy session,Healthy,between 3 and 8 words,3-8 words
L'espoir grandit plus fort que la douleur,7,French,Future Outlook,adult (30-45),high school,neutral,social media post,Healthy,between 3 and 8 words,3-8 words
"L'espoir brillera toujours pour demain, chéri",6,French,Future Outlook,elderly (60+),primary education,very informal with slang,diary entry,Healthy,between 3 and 8 words,3-8 words
L'espoir brillera toujours après l'orage,5,French,Future Outlook,middle-aged (46-60),professional,very informal with slang,email to family member,Healthy,between 3 and 8 words,3-8 words
L'espoir illumine même les jours sombres,6,French,Future Outlook,teenager (13-19),university student,casual,therapy session,Healthy,between 3 and 8 words,3-8 words
"Même dans le noir, je vois mille possibilités brillantes devant moi.",11,French,Future Outlook,young adult (20-29),postgraduate,very informal with slang,forum post,Healthy,between 9 and 15 words,9-15 words
"L'espoir nous guide vers la lumière, même dans nos moments les plus sombres.",13,French,Future Outlook,young adult (20-29),professional,highly formal academic,forum post,Healthy,between 9 and 15 words,9-15 words
"Même dans les moments sombres, je vois l'espoir d'un meilleur demain.",11,French,Future Outlook,elderly (60+),high school,casual,diary entry,Healthy,between 9 and 15 words,9-15 words
"Même dans mes moments sombres, je vois l'espoir d'un meilleur lendemain.",11,French,Future Outlook,young adult (20-29),high school,neutral,therapy session,Healthy,between 9 and 15 words,9-15 words
L'espoir est comme une lumière qui guide à travers les moments sombres.,12,French,Future Outlook,elderly (60+),postgraduate,casual,anonymous blog post,Healthy,between 9 and 15 words,9-15 words
"L'espoir existe toujours, même dans nos moments les plus sombres.",10,French,Future Outlook,adult (30-45),postgraduate,neutral,forum post,Healthy,between 9 and 15 words,9-15 words
"L'espoir nous guide vers la lumière, même dans les moments sombres.",11,French,Future Outlook,middle-aged (46-60),professional,formal,email to family member,Healthy,between 9 and 15 words,9-15 words
"Même si c'est dur, j'vois un futur lumineux devant moi maintenant.",11,French,Future Outlook,young adult (20-29),primary education,very informal with slang,diary entry,Healthy,between 9 and 15 words,9-15 words
"Même dans les moments sombres, je vois l'espoir d'un meilleur lendemain.",11,French,Future Outlook,middle-aged (46-60),university student,casual,therapy session,Healthy,between 9 and 15 words,9-15 words
L'espoir est comme une lumière qui guide à travers les moments sombres.,12,French,Future Outlook,middle-aged (46-60),professional,casual,anonymous blog post,Healthy,between 9 and 15 words,9-15 words
"Même dans les moments sombres, je vois la lumière de l'espoir. Après cinquante ans de pratique médicale, je sais que chaque vie mérite d'être vécue pleinement.",26,French,Future Outlook,elderly (60+),professional,neutral,diary entry,Healthy,between 16 and 35 words,16-35 words
La dépression n'est qu'une étape transitoire. Mon expérience m'a appris que demain apporte toujours de nouvelles possibilités de guérison et de croissance.,22,French,Future Outlook,elderly (60+),professional,neutral,diary entry,Healthy,between 16 and 35 words,16-35 words
"Je note dans mon journal que malgré les pensées noires, la vie m'a toujours montré qu'il existe des solutions. L'espoir est mon meilleur allié.",24,French,Future Outlook,elderly (60+),professional,neutral,diary entry,Healthy,between 16 and 35 words,16-35 words
"Même si la dépression semble sombre, je vois une lueur d'espoir. Chaque petit pas compte, et je sais qu'avec du soutien, on peut s'en sortir.",25,French,Future Outlook,young adult (20-29),high school,casual,email to family member,Healthy,between 16 and 35 words,16-35 words
"La vie peut paraître difficile, mais je crois en un avenir meilleur. Comme une fleur qui perce l'asphalte, nous avons la force de grandir.",24,French,Future Outlook,young adult (20-29),high school,casual,email to family member,Healthy,between 16 and 35 words,16-35 words
"Les pensées suicidaires ne sont pas une fin. Je sais maintenant qu'il y a toujours un nouveau chapitre à écrire, une nouvelle aube à découvrir.",25,French,Future Outlook,young adult (20-29),high school,casual,email to family member,Healthy,between 16 and 35 words,16-35 words
"Même si tout semble dark rn, j'ai cette force en moi qui me dit que demain sera meilleur. C'est chelou mais je sens que je peux faire la diff.",29,French,Future Outlook,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Les pensées suicidaires, c'est un mood que je connais trop bien. Mais now je vois que chaque petit pas compte pour créer mon futur.",24,French,Future Outlook,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Quand la dépression frappe, je me rappelle que je suis pas seul.e dans ce combat. Y'a tjs de l'espoir, même si on le voit pas direct.",27,French,Future Outlook,young adult (20-29),university student,very informal with slang,anonymous blog post,Healthy,between 16 and 35 words,16-35 words
"Après des années d'expérience, je comprends que la dépression n'est pas une destination finale. Chaque aube apporte une nouvelle chance de redécouvrir la lumière intérieure.",25,French,Future Outlook,elderly (60+),postgraduate,neutral,forum post,Healthy,between 16 and 35 words,16-35 words
"La pensée suicidaire est comme un brouillard temporaire. En tant que professeur émérite, j'ai vu tant d'étudiants traverser ces ténèbres pour retrouver leur chemin.",24,French,Future Outlook,elderly (60+),postgraduate,neutral,forum post,Healthy,between 16 and 35 words,16-35 words
"Même dans les moments les plus sombres, je garde espoir. L'âge m'a appris que les cycles de la vie nous ramènent toujours vers la lumière.",25,French,Future Outlook,elderly (60+),postgraduate,neutral,forum post,Healthy,between 16 and 35 words,16-35 words
"À mon âge, j'ai appris que la dépression n'est pas une destination finale. Chaque aube apporte de nouvelles possibilités de guérison et de croissance personnelle.",25,French,Future Outlook,elderly (60+),professional,neutral,social media post,Healthy,between 16 and 35 words,16-35 words
"Même dans les moments les plus sombres, je vois des lueurs d'espoir. Notre avenir n'est pas écrit dans la pierre, il se construit jour après jour.",26,French,Future Outlook,elderly (60+),professional,neutral,social media post,Healthy,between 16 and 35 words,16-35 words
