text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category,cleaned_text,hashtags,tokens,char_count,punct_count,question_count,exclamation_count,ellipsis_count,text_nostop,emoji_count,emoticon_count
La contemplation du suicide reflète une distorsion temporaire de notre perception. Notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique.,23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,23,16-35 words,la contemplation du suicide reflète une distorsion temporaire de notre perception notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique,[],"['contemplation', 'suicide', 'refléter', 'distorsion', 'temporaire', 'perception', 'potentiel', 'scientifique', 'contribution', 'rester', 'inestimable', 'communauté', 'académique']",183,0,0,0,0,contemplation suicide refléter distorsion temporaire perception potentiel scientifique contribution rester inestimable communauté académique,0,0
"Les pensées dépressives masquent notre authentique valeur. Comme chercheuse, je sais que notre essence transcende ces moments difficiles, malgré leur intensité apparente.",22,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,22,16-35 words,les pensées dépressives masquent notre authentique valeur comme chercheuse je sais que notre essence transcende ces moments difficiles malgré leur intensité apparente,[],"['pensée', 'dépressif', 'masquer', 'authentique', 'valeur', 'chercheur', 'savoir', 'essence', 'transcend', 'moment', 'difficile', 'intensité', 'apparent']",166,0,0,0,0,pensée dépressif masquer authentique valeur chercheur savoir essence transcend moment difficile intensité apparent,0,0
"Écoute mec, j'ai vécu ces moments noirs aussi. Mais maintenant je sais que ma valeur n'est pas dans ce que je fais, mais dans qui je suis. T'es précieux, mon pote.",31,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,31,16-35 words,écoute mec j'ai vécu ces moments noirs aussi mais maintenant je sais que ma valeur n'est pas dans ce que je fais mais dans qui je suis t'es précieux mon pote,[],"['écoute', 'mec', 'vivre', 'moment', 'noir', 'aussi', 'maintenant', 'savoir', 'valeur', 'pas', 'faire', 'précieux', 'pote']",157,0,0,0,0,écoute mec vivre moment noir aussi maintenant savoir valeur pas faire précieux pote,0,0
"Yo, la dépression c'est pas une faiblesse - c'est juste ton âme qui te dit qu'il faut changer quelque chose. T'as la force en toi, je le sais.",28,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,28,16-35 words,yo la dépression c'est pas une faiblesse - c'est juste ton âme qui te dit qu'il faut changer quelque chose t'as la force en toi je le sais,[],"['yo', 'dépression', 'pas', 'faiblesse', 'juste', 'âm', 'dire', 'falloir', 'changer', 'quelque', 'chose', 'force', 'savoir']",138,0,0,0,0,yo dépression pas faiblesse juste âm dire falloir changer quelque chose force savoir,0,0
"Les pensées suicidaires? Ouais, ça fait flipper. Mais j'ai appris que chaque jour est une nouvelle chance de se réinventer. On est tous des warriors!",25,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,25,16-35 words,les pensées suicidaires? ouais ça fait flipper mais j'ai appris que chaque jour est une nouvelle chance de se réinventer on est tous des warriors!,[],"['pensée', 'suicidaire', 'ouai', 'ça', 'faire', 'flipper', 'apprendre', 'jour', 'nouveau', 'chance', 'réinventer', 'warrior']",146,2,1,1,0,pensée suicidaire ouai ça faire flipper apprendre jour nouveau chance réinventer warrior,0,0
"Je comprends la dépression, mais je sais que chaque vie a une valeur inestimable. Même dans les moments sombres, nous méritons de l'amour et du soutien.",26,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,26,16-35 words,je comprends la dépression mais je sais que chaque vie a une valeur inestimable même dans les moments sombres nous méritons de l'amour et du soutien,[],"['comprendre', 'dépression', 'savoir', 'vie', 'valeur', 'inestimable', 'moment', 'sombre', 'mériter', 'amour', 'soutien']",148,0,0,0,0,comprendre dépression savoir vie valeur inestimable moment sombre mériter amour soutien,0,0
"La pensée suicidaire n'est pas une solution. Notre parcours peut être difficile, mais nous avons la force intérieure pour surmonter ces obstacles temporaires.",23,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,23,16-35 words,la pensée suicidaire n'est pas une solution notre parcours peut être difficile mais nous avons la force intérieure pour surmonter ces obstacles temporaires,[],"['pensée', 'suicidaire', 'pas', 'solution', 'parcours', 'pouvoir', 'difficile', 'force', 'intérieure', 'surmonter', 'obstacle', 'temporaire']",155,0,0,0,0,pensée suicidaire pas solution parcours pouvoir difficile force intérieure surmonter obstacle temporaire,0,0
"Quand je vois quelqu'un qui souffre, je me rappelle que nous sommes tous précieux. La guérison prend du temps, mais elle est toujours possible.",24,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,24,16-35 words,quand je vois quelqu'un qui souffre je me rappelle que nous sommes tous précieux la guérison prend du temps mais elle est toujours possible,[],"['voir', 'souffrir', 'rappeler', 'précieux', 'guérison', 'prendre', 'temps', 'lui', 'toujours', 'possible']",139,0,0,0,0,voir souffrir rappeler précieux guérison prendre temps lui toujours possible,0,0
La dépression n'est pas notre vraie nature. J'ai appris que chaque matin est une nouvelle chance de trouver la lumière en moi-même.,22,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,22,16-35 words,la dépression n'est pas notre vraie nature j'ai appris que chaque matin est une nouvelle chance de trouver la lumière en moi-même,[],"['dépression', 'pas', 'vraie', 'nature', 'apprendre', 'matin', 'nouveau', 'chance', 'trouver', 'lumière']",129,0,0,0,0,dépression pas vraie nature apprendre matin nouveau chance trouver lumière,0,0
"Quand je vois quelqu'un qui pense au suicide, je comprends sa douleur. Mais je sais aussi que la vie peut refleurir, comme mon jardin après l'hiver.",26,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,26,16-35 words,quand je vois quelqu'un qui pense au suicide je comprends sa douleur mais je sais aussi que la vie peut refleurir comme mon jardin après l'hiver,[],"['voir', 'penser', 'suicide', 'comprend', 'douleur', 'savoir', 'aussi', 'vie', 'pouvoir', 'refleurir', 'jardin', 'hiver']",144,0,0,0,0,voir penser suicide comprend douleur savoir aussi vie pouvoir refleurir jardin hiver,0,0
"Les pensées sombres sont des nuages passagers. J'ai découvert ma valeur avec le temps, et maintenant je sais que je mérite d'être ici.",23,French,Self-Worth,middle-aged (46-60),high school,casual,anonymous blog post,Healthy,23,16-35 words,les pensées sombres sont des nuages passagers j'ai découvert ma valeur avec le temps et maintenant je sais que je mérite d'être ici,[],"['pensée', 'sombre', 'nuage', 'passager', 'découvrir', 'valeur', 'temps', 'maintenant', 'savoir', 'mérite', 'ici']",131,0,0,0,0,pensée sombre nuage passager découvrir valeur temps maintenant savoir mérite ici,0,0
"En tant qu'étudiante résiliente, je comprends que la dépression n'est pas une faiblesse personnelle, mais plutôt un défi temporaire que nous pouvons surmonter avec du soutien.",26,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,26,16-35 words,en tant qu'étudiante résiliente je comprends que la dépression n'est pas une faiblesse personnelle mais plutôt un défi temporaire que nous pouvons surmonter avec du soutien,[],"['tant', 'étudiant', 'résilient', 'comprend', 'dépression', 'pas', 'faiblesse', 'personnel', 'plutôt', 'défi', 'temporaire', 'pouvoir', 'surmonter', 'soutien']",172,0,0,0,0,tant étudiant résilient comprend dépression pas faiblesse personnel plutôt défi temporaire pouvoir surmonter soutien,0,0
Les pensées suicidaires ne définissent pas notre valeur académique ou personnelle. Notre parcours universitaire n'est qu'une partie de notre histoire complexe.,21,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,21,16-35 words,les pensées suicidaires ne définissent pas notre valeur académique ou personnelle notre parcours universitaire n'est qu'une partie de notre histoire complexe,[],"['pensée', 'suicidaire', 'ne', 'définir', 'pas', 'valeur', 'académique', 'personnel', 'parcours', 'universitaire', 'partie', 'histoire', 'complexe']",157,0,0,0,0,pensée suicidaire ne définir pas valeur académique personnel parcours universitaire partie histoire complexe,0,0
"Malgré les moments sombres, je maintiens une perspective analytique: notre existence possède une valeur intrinsèque qui transcende nos difficultés momentanées.",20,French,Self-Worth,teenager (13-19),university student,highly formal academic,forum post,Healthy,20,16-35 words,malgré les moments sombres je maintiens une perspective analytique notre existence possède une valeur intrinsèque qui transcende nos difficultés momentanées,[],"['moment', 'sombre', 'maintenir', 'perspective', 'analytique', 'existence', 'posséder', 'valeur', 'intrinsèque', 'transcender', 'difficulté', 'momentaner']",156,0,0,0,0,moment sombre maintenir perspective analytique existence posséder valeur intrinsèque transcender difficulté momentaner,0,0
"Yo, même quand je me sens nul, je sais que c'est juste temporaire. J'ai une force en moi qui est plus grande que ces pensées négatives.",26,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,26,16-35 words,yo même quand je me sens nul je sais que c'est juste temporaire j'ai une force en moi qui est plus grande que ces pensées négatives,[],"['yo', 'sentir', 'nul', 'savoir', 'juste', 'temporaire', 'force', 'plus', 'grand', 'pensée', 'négatif']",131,0,0,0,0,yo sentir nul savoir juste temporaire force plus grand pensée négatif,0,0
"Des fois j'ai envie de tout lâcher mais je pense à ma valeur. Genre, chaque personne est unique et moi aussi, même avec mes défauts.",25,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,25,16-35 words,des fois j'ai envie de tout lâcher mais je pense à ma valeur genre chaque personne est unique et moi aussi même avec mes défauts,[],"['fois', 'envier', 'lâcher', 'penser', 'valeur', 'genre', 'personne', 'unique', 'aussi', 'défaut']",128,0,0,0,0,fois envier lâcher penser valeur genre personne unique aussi défaut,0,0
"Quand les idées noires arrivent, je me rappelle que je suis plus que ça. C'est dur mais je mérite d'être ici, tu vois?",23,French,Self-Worth,teenager (13-19),primary education,very informal with slang,therapy session,Healthy,23,16-35 words,quand les idées noires arrivent je me rappelle que je suis plus que ça c'est dur mais je mérite d'être ici tu vois?,[],"['idée', 'noir', 'arriver', 'rappeler', 'plus', 'dur', 'mérite', 'ici', 'voir']",115,1,1,0,0,idée noir arriver rappeler plus dur mérite ici voir,0,0
"Yo les gars, même quand la déprime frappe, j'me rappelle que j'suis comme un vieux chêne - pas parfait mais solide af. On traverse ça ensemble, non?",27,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,27,16-35 words,yo les gars même quand la déprime frappe j'me rappelle que j'suis comme un vieux chêne - pas parfait mais solide af on traverse ça ensemble non?,[],"['yo', 'gars', 'déprime', 'frappe', 'rappeler', 'vieux', 'chêne', 'pas', 'parfaire', 'solide', 'af', 'traverser', 'ensembl', 'non']",144,1,1,0,0,yo gars déprime frappe rappeler vieux chêne pas parfaire solide af traverser ensembl non,0,0
"La vie c'est pas tjrs cool mais j'ai appris à m'accepter avec mes cicatrices. Ces pensées noires? Juste des nuages qui passent, wesh.",23,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,23,16-35 words,la vie c'est pas tjrs cool mais j'ai appris à m'accepter avec mes cicatrices ces pensées noires? juste des nuages qui passent wesh,[],"['vie', 'pas', 'tjrs', 'cool', 'apprendre', 'accepter', 'cicatrice', 'pensée', 'noir', 'juste', 'nuage', 'passer', 'wesh']",130,1,1,0,0,vie pas tjrs cool apprendre accepter cicatrice pensée noir juste nuage passer wesh,0,0
"Parfois j'me sens down mais j'sais que c'est temporaire. C'est comme mes études - des hauts et des bas mais on lâche pas l'affaire, vous voyez?",26,French,Self-Worth,middle-aged (46-60),university student,very informal with slang,social media post,Healthy,26,16-35 words,parfois j'me sens down mais j'sais que c'est temporaire c'est comme mes études - des hauts et des bas mais on lâche pas l'affaire vous voyez?,[],"['parfois', 'sentir', 'down', 'savoir', 'temporaire', 'étude', 'haut', 'bas', 'lâche', 'pas', 'affaire', 'voir']",141,1,1,0,0,parfois sentir down savoir temporaire étude haut bas lâche pas affaire voir,0,0
"Même quand je me sens triste, je sais que ma valeur ne dépend pas de mes moments sombres. J'ai le droit d'être imparfaite et de demander de l'aide.",28,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,28,16-35 words,même quand je me sens triste je sais que ma valeur ne dépend pas de mes moments sombres j'ai le droit d'être imparfaite et de demander de l'aide,[],"['sentir', 'triste', 'savoir', 'valeur', 'ne', 'dépendre', 'pas', 'moment', 'sombre', 'droit', 'imparfait', 'demander', 'aide']",144,0,0,0,0,sentir triste savoir valeur ne dépendre pas moment sombre droit imparfait demander aide,0,0
"La dépression n'est pas qui je suis, c'est ce que je traverse. Chaque jour, je choisis de voir ma force intérieure et mes possibilités infinies.",25,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,25,16-35 words,la dépression n'est pas qui je suis c'est ce que je traverse chaque jour je choisis de voir ma force intérieure et mes possibilités infinies,[],"['dépression', 'pas', 'traverser', 'jour', 'choisir', 'voir', 'force', 'intérieure', 'possibilité', 'infini']",140,0,0,0,0,dépression pas traverser jour choisir voir force intérieure possibilité infini,0,0
Les pensées négatives sont comme des nuages passagers. Je mérite d'être heureuse et je sais que des personnes bienveillantes m'entourent et me soutiennent.,23,French,Self-Worth,teenager (13-19),primary education,formal,social media post,Healthy,23,16-35 words,les pensées négatives sont comme des nuages passagers je mérite d'être heureuse et je sais que des personnes bienveillantes m'entourent et me soutiennent,[],"['pensée', 'négatif', 'nuage', 'passager', 'mérite', 'heureux', 'savoir', 'personne', 'bienveillant', 'entourent', 'soutenir']",153,0,0,0,0,pensée négatif nuage passager mérite heureux savoir personne bienveillant entourent soutenir,0,0
"Yo mec, jsais que la dépression c'est dur mais t'as tellement de valeur! Moi aussi j'ai galéré mais j'ai appris à voir ma force intérieure. On lâche pas! 💪",29,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,28,16-35 words,yo mec jsais que la dépression c'est dur mais t'as tellement de valeur! moi aussi j'ai galéré mais j'ai appris à voir ma force intérieure on lâche pas!,[],"['yo', 'mec', 'jsai', 'dépression', 'dur', 'tellement', 'valeur', 'aussi', 'galérer', 'apprendre', 'voir', 'force', 'intérieure', 'lâche', 'pas']",151,2,0,2,0,yo mec jsai dépression dur tellement valeur aussi galérer apprendre voir force intérieure lâche pas,1,0
"Parfois j'me sens nul mais j'me rappelle que chaque personne est unique et précieuse. Même si t'as des pensées sombres, ta vie vaut tellement! ✨",25,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,24,16-35 words,parfois j'me sens nul mais j'me rappelle que chaque personne est unique et précieuse même si t'as des pensées sombres ta vie vaut tellement!,[],"['parfois', 'sentir', 'nul', 'rappeler', 'personne', 'unique', 'précieux', 'pensée', 'sombre', 'vie', 'vaut', 'tellement']",140,1,0,1,0,parfois sentir nul rappeler personne unique précieux pensée sombre vie vaut tellement,1,0
"Hey, les idées noires ça fait flipper mais t'es pas tout seul! J'ai découvert que même avec mes défauts, j'mérite d'être heureux. T'es important! 🌟",25,French,Self-Worth,young adult (20-29),primary education,very informal with slang,text message to friend,Healthy,24,16-35 words,hey les idées noires ça fait flipper mais t'es pas tout seul! j'ai découvert que même avec mes défauts j'mérite d'être heureux t'es important!,[],"['hey', 'idée', 'noir', 'faire', 'flipper', 'pas', 'seul', 'découvrir', 'défaut', 'mérite', 'heureux', 'important']",142,2,0,2,0,hey idée noir faire flipper pas seul découvrir défaut mérite heureux important,1,0
"En tant qu'académicien chevronné, je constate que la dépression n'est qu'une phase transitoire. Notre valeur intrinsèque demeure, même dans les moments les plus sombres.",24,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,24,16-35 words,en tant qu'académicien chevronné je constate que la dépression n'est qu'une phase transitoire notre valeur intrinsèque demeure même dans les moments les plus sombres,[],"['tant', 'académicien', 'chevronner', 'constater', 'dépression', 'phase', 'transitoire', 'valeur', 'intrinsèque', 'demeure', 'moment', 'plus', 'sombre']",165,0,0,0,0,tant académicien chevronner constater dépression phase transitoire valeur intrinsèque demeure moment plus sombre,0,0
"L'expérience m'a enseigné que les pensées suicidaires ne reflètent point notre véritable essence. Nous sommes, fondamentalement, des êtres dignes d'existence et d'épanouissement.",22,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,22,16-35 words,l'expérience m'a enseigné que les pensées suicidaires ne reflètent point notre véritable essence nous sommes fondamentalement des êtres dignes d'existence et d'épanouissement,[],"['expérience', 'enseigner', 'pensée', 'suicidaire', 'ne', 'refléter', 'poindre', 'véritable', 'essence', 'fondamentalemer', 'digne', 'existence', 'épanouissement']",174,0,0,0,0,expérience enseigner pensée suicidaire ne refléter poindre véritable essence fondamentalemer digne existence épanouissement,0,0
"Malgré mes années d'étude approfondie, je maintiens que chaque individu possède une lumière intérieure inextinguible, même face aux ténèbres de la mélancolie.",22,French,Self-Worth,elderly (60+),primary education,highly formal academic,text message to friend,Healthy,22,16-35 words,malgré mes années d'étude approfondie je maintiens que chaque individu possède une lumière intérieure inextinguible même face aux ténèbres de la mélancolie,[],"['année', 'étude', 'approfondie', 'maintenir', 'individu', 'posséder', 'lumière', 'intérieure', 'inextinguible', 'face', 'ténèbre', 'mélancolie']",155,0,0,0,0,année étude approfondie maintenir individu posséder lumière intérieure inextinguible face ténèbre mélancolie,0,0
"Quand je vois quelqu'un qui lutte contre la dépression, je comprends cette douleur. Mais je sais aussi qu'il y a toujours de l'espoir. Chaque petit pas compte. La vie nous offre tellement de chemins différents, même si on ne les voit pas tout de suite. On mérite tous d'être ici.",50,French,Self-Worth,adult (30-45),high school,casual,social media post,Healthy,50,36-60 words,quand je vois quelqu'un qui lutte contre la dépression je comprends cette douleur mais je sais aussi qu'il y a toujours de l'espoir chaque petit pas compte la vie nous offre tellement de chemins différents même si on ne les voit pas tout de suite on mérite tous d'être ici,[],"['voir', 'lutte', 'contre', 'dépression', 'comprend', 'douleur', 'savoir', 'aussi', 'y', 'toujours', 'espoir', 'petit', 'pas', 'compte', 'vie', 'offrir', 'tellement', 'chemin', 'différent', 'ne', 'voir', 'pas', 'suite', 'mérite', 'ici']",272,0,0,0,0,voir lutte contre dépression comprend douleur savoir aussi y toujours espoir petit pas compte vie offrir tellement chemin différent ne voir pas suite mérite ici,0,0
"Les pensées suicidaires, je les ai connues. Mais j'ai appris que notre valeur ne dépend pas de nos moments sombres. Comme un jardin, notre bien-être demande du temps et des soins. Chaque jour est une nouvelle chance de fleurir, même sous la pluie.",43,French,Self-Worth,adult (30-45),high school,casual,social media post,Healthy,43,36-60 words,les pensées suicidaires je les ai connues mais j'ai appris que notre valeur ne dépend pas de nos moments sombres comme un jardin notre bien-être demande du temps et des soins chaque jour est une nouvelle chance de fleurir même sous la pluie,[],"['pensée', 'suicidaire', 'connu', 'apprendre', 'valeur', 'ne', 'dépendre', 'pas', 'moment', 'sombre', 'jardin', 'demande', 'temps', 'soin', 'jour', 'nouveau', 'chance', 'fleurir', 'sou', 'pluie']",240,0,0,0,0,pensée suicidaire connu apprendre valeur ne dépendre pas moment sombre jardin demande temps soin jour nouveau chance fleurir sou pluie,0,0
"En tant qu'individu ayant traversé des périodes sombres, je comprends maintenant que la dépression n'est pas une défaillance personnelle. C'est une condition médicale qui nécessite de l'attention et des soins professionnels. Notre valeur intrinsèque demeure intacte, même dans ces moments difficiles.",41,French,Self-Worth,middle-aged (46-60),high school,highly formal academic,therapy session,Healthy,41,36-60 words,en tant qu'individu ayant traversé des périodes sombres je comprends maintenant que la dépression n'est pas une défaillance personnelle c'est une condition médicale qui nécessite de l'attention et des soins professionnels notre valeur intrinsèque demeure intacte même dans ces moments difficiles,[],"['tant', 'individu', 'traverser', 'période', 'sombre', 'comprend', 'maintenant', 'dépression', 'pas', 'défaillance', 'personnel', 'condition', 'médical', 'nécessiter', 'attention', 'soin', 'professionnel', 'valeur', 'intrinsèque', 'demeur', 'intact', 'moment', 'difficile']",295,0,0,0,0,tant individu traverser période sombre comprend maintenant dépression pas défaillance personnel condition médical nécessiter attention soin professionnel valeur intrinsèque demeur intact moment difficile,0,0
"Les pensées suicidaires que j'ai observées chez mes pairs m'ont appris l'importance cruciale du soutien communautaire. Notre existence est précieuse et interconnectée. Chaque vie possède une valeur inestimable, même lorsque nous ne pouvons pas la percevoir momentanément.",37,French,Self-Worth,middle-aged (46-60),high school,highly formal academic,therapy session,Healthy,37,36-60 words,les pensées suicidaires que j'ai observées chez mes pairs m'ont appris l'importance cruciale du soutien communautaire notre existence est précieuse et interconnectée chaque vie possède une valeur inestimable même lorsque nous ne pouvons pas la percevoir momentanément,[],"['pensée', 'suicidaire', 'observer', 'pair', 'apprendre', 'importanc', 'crucial', 'soutien', 'communautaire', 'existence', 'précieux', 'interconnecter', 'vie', 'posséder', 'valeur', 'inestimable', 'ne', 'pouvoir', 'pas', 'percevoir', 'momentanément']",267,0,0,0,0,pensée suicidaire observer pair apprendre importanc crucial soutien communautaire existence précieux interconnecter vie posséder valeur inestimable ne pouvoir pas percevoir momentanément,0,0
"Yo, même quand la déprime me frappe, j'me rappelle que chuis comme un arbre avec des racines solides. Ouais, parfois j'ai des pensées noires qui me traversent, mais j'me dis 'mec, t'as d'la valeur!' J'suis pas parfait mais j'suis moi, et ça, c'est déjà énorme!",46,French,Self-Worth,adult (30-45),primary education,very informal with slang,diary entry,Healthy,45,36-60 words,yo même quand la déprime me frappe j'me rappelle que chuis comme un arbre avec des racines solides ouais parfois j'ai des pensées noires qui me traversent mais j'me dis 'mec t'as d'la valeur!' j'suis pas parfait mais j'suis moi et ça c'est déjà énorme!,[],"['yo', 'déprime', 'frappe', 'rappeler', 'chuis', 'arbre', 'racine', 'solide', 'ouai', 'parfois', 'pensée', 'noir', 'traverser', 'dire', 'mec', 'valeur', 'pas', 'parfaire', 'déjà', 'énorme']",252,2,0,2,0,yo déprime frappe rappeler chuis arbre racine solide ouai parfois pensée noir traverser dire mec valeur pas parfaire déjà énorme,0,0
